distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,efficiency
19.0,4.3,36,21.5,7,No Specials,E10,0,0,0,0,0,0.2263157894736842
12.1,5.7,36,21.5,8,No Specials,E10,0,0,0,0,0,0.4710743801652893
20.0,5.2,37,21.5,4,No Specials,E10,0,0,0,0,0,0.26
4.9,7.4,26,21.5,6,No Specials,E10,0,0,0,0,0,1.510204081632653
11.8,4.8,23,21.5,9,No Specials,E10,0,0,0,0,0,0.4067796610169491
12.3,6.5,58,21.5,7,No Specials,E10,0,0,0,0,0,0.5284552845528455
12.4,4.0,55,21.5,7,AC rain,E10,1,1,0,0,0,0.3225806451612903
4.5,5.0,29,21.5,7,AC,E10,1,0,0,0,0,1.1111111111111112
11.7,4.6,37,21.5,6,No Specials,E10,0,0,0,0,0,0.39316239316239315
10.2,4.3,44,21.5,7,No Specials,E10,0,0,0,0,0,0.4215686274509804
5.4,3.3,32,21.5,7,No Specials,SP98,0,0,0,"37,6",SP98,0.611111111111111
2.0,9.9,21,21.5,4,No Specials,SP98,0,0,0,0,0,4.95
14.2,5.1,32,21.5,7,No Specials,SP98,0,0,0,0,0,0.35915492957746475
16.0,4.9,25,21.5,8,No Specials,SP98,0,0,0,0,0,0.30625
11.8,4.9,25,21.5,11,No Specials,SP98,0,0,0,0,0,0.4152542372881356
27.3,4.7,36,21.5,10,No Specials,SP98,0,0,0,0,0,0.17216117216117216
11.8,5.1,29,21.5,5,rain,SP98,0,1,0,0,0,0.43220338983050843
10.6,4.9,63,21.5,6,No Specials,SP98,0,0,0,0,0,0.4622641509433963
11.6,4.2,61,21.5,7,No Specials,SP98,0,0,0,0,0,0.3620689655172414
13.1,6.1,46,21.5,6,rain,SP98,0,1,0,0,0,0.46564885496183206
6.1,6.4,28,21.5,8,No Specials,SP98,0,0,0,0,0,1.0491803278688525
153.5,4.9,82,21.5,3,rain,SP98,0,1,0,0,0,0.03192182410423453
11.8,4.9,24,21.5,7,No Specials,SP98,0,0,0,0,0,0.4152542372881356
12.3,6.2,61,21.5,8,No Specials,SP98,0,0,0,0,0,0.5040650406504065
12.4,4.2,57,21.5,8,No Specials,SP98,0,0,0,0,0,0.33870967741935487
12.3,5.7,52,21.5,8,rain,SP98,0,1,0,0,0,0.46341463414634143
2.9,7.9,18,21.5,9,AC rain,SP98,1,1,0,0,0,2.724137931034483
2.1,12.2,23,21.5,9,No Specials,SP98,1,1,0,0,0,5.809523809523809
9.8,5.8,24,21.5,6,No Specials,SP98,0,0,0,0,0,0.5918367346938775
6.8,5.3,26,21.5,6,No Specials,SP98,0,0,0,0,0,0.7794117647058824
12.4,5.4,24,21.5,7,No Specials,SP98,0,0,0,0,0,0.43548387096774194
12.4,4.7,57,21.5,8,No Specials,SP98,0,0,0,0,0,0.3790322580645161
11.8,4.6,41,21.5,6,No Specials,SP98,0,0,0,0,0,0.38983050847457623
12.3,5.4,55,21.5,8,No Specials,SP98,0,0,0,0,0,0.43902439024390244
14.0,4.3,40,21.5,8,No Specials,SP98,0,0,0,0,0,0.3071428571428571
11.8,4.5,37,21.5,4,AC,SP98,1,0,0,0,0,0.3813559322033898
12.3,5.2,55,21.5,12,No Specials,SP98,0,0,0,0,0,0.4227642276422764
2.0,6.2,20,21.5,10,No Specials,SP98,0,0,0,0,0,3.1
13.9,5.1,29,21.5,6,No Specials,SP98,0,0,0,0,0,0.3669064748201438
9.7,3.9,42,21.5,8,No Specials,SP98,0,0,0,0,0,0.4020618556701031
11.6,5.0,25,21.5,6,No Specials,SP98,0,0,0,0,0,0.4310344827586207
14.2,5.4,38,21.5,7,No Specials,SP98,0,0,0,0,0,0.3802816901408451
11.8,4.5,39,21.5,6,No Specials,SP98,0,0,0,0,0,0.3813559322033898
24.8,5.1,50,21.5,9,No Specials,SP98,0,0,0,0,0,0.20564516129032256
12.4,4.7,56,21.5,7,No Specials,SP98,0,0,0,0,0,0.3790322580645161
34.8,4.0,28,20.0,4,No Specials,SP98,0,0,0,0,0,0.1149425287356322
14.2,5.4,36,20.0,6,No Specials,SP98,0,0,0,0,0,0.3802816901408451
5.2,4.5,39,20.0,10,No Specials,SP98,0,0,0,0,0,0.8653846153846153
10.5,3.6,42,20.0,10,No Specials,SP98,0,0,0,"37,7",SP98,0.34285714285714286
12.3,5.2,57,20.0,10,No Specials,SP98,0,0,0,0,0,0.4227642276422764
11.8,4.9,25,20.0,11,No Specials,SP98,0,0,0,0,0,0.4152542372881356
12.3,6.2,58,20.0,11,rain,SP98,0,1,0,0,0,0.5040650406504065
13.2,4.3,51,20.0,11,rain,SP98,0,1,0,0,0,0.32575757575757575
13.0,5.0,45,20.0,11,rain,SP98,0,1,0,0,0,0.38461538461538464
12.9,5.1,32,20.0,11,No Specials,SP98,0,0,0,0,0,0.3953488372093023
13.9,5.6,22,20.0,8,No Specials,SP98,0,0,0,0,0,0.40287769784172656
11.8,4.3,37,20.0,6,No Specials,SP98,0,0,0,0,0,0.3644067796610169
12.2,5.8,60,20.0,11,No Specials,SP98,0,0,0,0,0,0.4754098360655738
12.5,4.0,51,20.0,13,No Specials,SP98,0,0,0,0,0,0.32
12.4,4.7,43,21.929521276595743,10,No Specials,SP98,0,0,0,0,0,0.3790322580645161
11.8,5.9,21,20.0,9,AC rain,SP98,1,1,0,0,0,0.5
11.8,5.3,52,21.929521276595743,11,No Specials,SP98,0,0,0,0,0,0.4491525423728813
12.5,4.2,57,20.0,11,No Specials,SP98,0,0,0,0,0,0.336
15.7,5.3,33,21.929521276595743,9,No Specials,SP98,0,0,0,0,0,0.3375796178343949
12.9,5.7,35,21.929521276595743,9,No Specials,SP98,0,0,0,0,0,0.4418604651162791
6.4,4.4,37,21.929521276595743,10,No Specials,SP98,0,0,0,0,0,0.6875
5.3,4.1,34,21.929521276595743,9,No Specials,SP98,0,0,0,0,0,0.7735849056603773
26.2,5.8,71,21.0,8,AC rain,SP98,1,1,0,0,0,0.22137404580152673
18.8,5.0,62,21.929521276595743,9,rain,SP98,0,1,0,0,0,0.26595744680851063
4.9,6.9,25,21.0,12,rain,SP98,0,1,0,0,0,1.4081632653061225
12.4,5.4,18,21.0,11,AC rain,SP98,1,1,0,0,0,0.43548387096774194
22.9,5.3,45,20.5,7,No Specials,SP98,0,0,0,0,0,0.2314410480349345
162.7,5.5,75,23.0,1,No Specials,SP98,0,0,0,45,SP98,0.03380454824830977
4.9,6.5,26,21.0,1,No Specials,SP98,0,0,0,0,0,1.3265306122448979
11.8,4.7,36,21.0,4,No Specials,SP98,0,0,0,0,0,0.3983050847457627
16.6,5.1,56,21.0,7,No Specials,SP98,0,0,0,0,0,0.30722891566265054
12.4,5.7,37,21.0,7,No Specials,SP98,0,0,0,0,0,0.4596774193548387
15.9,5.4,25,21.0,7,No Specials,SP98,0,0,0,0,0,0.339622641509434
5.1,8.7,21,23.5,5,No Specials,SP98,0,0,0,0,0,1.7058823529411764
22.4,4.9,66,20.5,7,No Specials,SP98,0,0,0,0,0,0.21875000000000003
31.1,4.7,42,20.5,7,No Specials,SP98,0,0,0,0,0,0.15112540192926044
4.9,6.3,27,20.5,3,No Specials,SP98,0,0,0,0,0,1.2857142857142856
11.8,5.1,26,23.0,4,rain,SP98,0,1,0,0,0,0.43220338983050843
22.9,6.0,42,23.0,4,rain,SP98,0,1,0,0,0,0.26200873362445415
12.4,4.6,38,23.0,1,snow,SP98,0,1,0,0,0,0.3709677419354838
12.9,5.8,40,23.0,4,No Specials,SP98,0,0,0,0,0,0.44961240310077516
11.8,5.1,43,23.0,0,No Specials,SP98,0,0,0,0,0,0.43220338983050843
12.2,5.8,58,23.0,2,No Specials,SP98,0,0,0,0,0,0.4754098360655738
24.8,4.6,55,23.0,3,No Specials,SP98,0,0,0,0,0,0.1854838709677419
14.2,5.6,24,23.0,8,No Specials,SP98,0,0,0,0,0,0.39436619718309857
11.8,4.6,38,23.0,0,snow,SP98,0,1,0,0,0,0.38983050847457623
12.2,6.3,57,23.0,0,snow,SP98,0,1,0,0,0,0.5163934426229508
24.7,5.5,56,25.0,1,No Specials,SP98,0,0,0,0,0,0.22267206477732795
6.8,4.3,46,24.0,2,No Specials,SP98,0,0,0,0,0,0.6323529411764706
17.3,5.6,37,21.5,1,No Specials,SP98,0,0,0,0,0,0.32369942196531787
11.8,4.3,44,21.5,-3,No Specials,SP98,0,0,0,0,0,0.3644067796610169
15.9,5.7,46,21.5,5,No Specials,SP98,0,0,0,0,0,0.3584905660377358
5.1,6.4,39,21.5,4,No Specials,SP98,0,0,0,0,0,1.254901960784314
16.1,4.5,33,21.5,6,No Specials,SP98,0,0,0,0,0,0.2795031055900621
11.8,4.5,43,21.5,3,No Specials,SP98,0,0,0,0,0,0.3813559322033898
4.2,6.0,26,21.5,5,No Specials,SP98,0,0,0,0,0,1.4285714285714286
17.4,5.1,30,21.5,5,No Specials,SP98,0,0,0,0,0,0.2931034482758621
23.5,6.0,25,21.5,5,rain,SP98,0,1,0,0,0,0.2553191489361702
11.8,4.5,38,21.5,5,rain,SP98,0,1,0,0,0,0.3813559322033898
12.3,6.1,61,21.5,10,rain,SP98,0,1,0,0,0,0.4959349593495934
16.1,5.4,24,21.5,7,rain,E10,0,1,0,38,E10,0.3354037267080745
11.8,4.3,40,21.5,10,rain,E10,0,1,0,0,0,0.3644067796610169
12.3,5.4,58,21.5,13,No Specials,E10,0,0,0,0,0,0.43902439024390244
12.4,4.3,49,21.5,17,No Specials,E10,0,0,0,0,0,0.34677419354838707
7.0,5.2,25,21.5,17,No Specials,E10,0,0,0,0,0,0.7428571428571429
11.8,4.1,37,21.5,10,No Specials,E10,0,0,0,0,0,0.34745762711864403
20.1,4.4,41,21.5,18,No Specials,E10,0,0,0,0,0,0.21890547263681592
20.8,4.5,45,21.5,10,No Specials,E10,0,0,0,0,0,0.21634615384615383
1.7,10.8,14,21.5,10,rain,E10,0,1,0,0,0,6.352941176470589
35.9,4.7,45,21.5,12,No Specials,E10,0,0,0,0,0,0.13091922005571033
36.9,4.8,52,21.5,5,No Specials,E10,0,0,0,0,0,0.13008130081300814
16.8,4.0,46,21.5,8,No Specials,E10,0,0,0,0,0,0.23809523809523808
9.9,5.0,28,21.5,9,No Specials,E10,0,0,0,0,0,0.5050505050505051
22.9,4.6,61,21.5,7,rain,E10,0,1,0,0,0,0.20087336244541484
17.3,5.0,61,21.5,6,AC rain,E10,1,1,0,0,0,0.2890173410404624
11.8,4.3,37,21.5,7,No Specials,E10,0,0,0,0,0,0.3644067796610169
36.6,5.2,80,21.5,7,rain,E10,0,1,0,0,0,0.14207650273224043
44.9,4.7,62,21.5,8,No Specials,E10,0,0,0,0,0,0.1046770601336303
11.8,4.2,34,21.5,9,rain,E10,0,1,0,0,0,0.3559322033898305
21.6,5.3,44,21.5,9,rain,E10,0,1,0,0,0,0.24537037037037035
39.4,5.3,60,21.5,9,rain,E10,0,1,0,0,0,0.13451776649746192
5.1,8.1,39,21.5,4,No Specials,E10,0,0,0,0,0,1.5882352941176472
26.6,4.8,38,21.5,7,No Specials,E10,0,0,0,0,0,0.18045112781954886
53.2,5.1,71,21.5,2,No Specials,E10,0,0,0,0,0,0.09586466165413533
18.9,4.4,53,21.5,2,No Specials,E10,0,0,0,0,0,0.23280423280423285
43.5,5.0,80,21.5,3,No Specials,E10,0,0,0,0,0,0.11494252873563218
6.1,6.3,26,21.5,5,No Specials,E10,0,0,0,0,0,1.0327868852459017
16.4,4.8,49,21.5,5,No Specials,E10,0,0,0,0,0,0.29268292682926833
12.3,6.1,40,21.5,6,No Specials,E10,0,0,0,0,0,0.4959349593495934
21.1,4.6,36,21.5,8,No Specials,E10,0,0,0,0,0,0.21800947867298576
21.1,4.8,43,21.5,7,No Specials,E10,0,0,0,0,0,0.22748815165876776
22.7,4.7,55,21.5,6,No Specials,E10,0,0,0,0,0,0.20704845814977976
44.4,4.8,38,21.5,8,No Specials,E10,0,0,0,"38,3",E10,0.10810810810810811
35.8,4.4,51,21.5,6,No Specials,E10,0,0,0,0,0,0.12290502793296092
11.8,4.9,44,21.5,0,No Specials,E10,0,0,0,0,0,0.4152542372881356
26.2,4.9,42,21.5,6,No Specials,E10,0,0,0,0,0,0.18702290076335878
40.6,4.4,44,21.0,3,No Specials,E10,0,0,0,0,0,0.10837438423645321
12.4,5.3,38,21.0,-5,No Specials,E10,0,0,0,0,0,0.42741935483870963
14.1,5.3,47,21.0,-3,No Specials,E10,0,0,0,0,0,0.375886524822695
58.7,4.8,75,21.0,0,No Specials,E10,0,0,0,0,0,0.0817717206132879
16.2,5.2,29,21.0,0,No Specials,E10,0,0,0,0,0,0.3209876543209877
12.3,4.9,50,22.5,0,No Specials,E10,0,0,0,0,0,0.3983739837398374
12.3,7.1,52,22.5,0,AC snow,E10,1,1,0,0,0,0.5772357723577235
12.4,5.2,51,22.5,1,No Specials,E10,0,0,0,0,0,0.41935483870967744
31.8,4.7,59,22.5,3,No Specials,E10,0,0,0,0,0,0.14779874213836477
12.3,5.1,55,22.5,8,No Specials,E10,0,0,0,0,0,0.41463414634146334
51.6,5.0,73,22.5,12,No Specials,E10,0,0,0,0,0,0.09689922480620154
38.6,4.6,44,22.5,10,No Specials,E10,0,0,0,0,0,0.11917098445595854
12.3,4.8,41,22.5,7,No Specials,E10,0,0,0,0,0,0.39024390243902435
81.2,4.4,69,22.0,13,No Specials,E10,0,0,0,0,0,0.054187192118226604
130.3,4.6,85,22.0,12,No Specials,E10,0,0,0,0,0,0.03530314658480429
67.2,4.3,67,22.0,18,No Specials,E10,0,0,0,0,0,0.06398809523809523
43.7,4.7,44,22.0,9,half rain half sun,SP98,0,1,0,10,SP98,0.10755148741418764
12.1,4.2,43,22.0,4,No Specials,SP98,0,0,0,39,SP98,0.34710743801652894
56.1,4.8,82,22.0,13,No Specials,SP98,0,0,0,0,0,0.0855614973262032
39.0,4.1,61,22.0,16,No Specials,SP98,0,0,0,0,0,0.10512820512820512
11.8,4.5,41,21.5,13,No Specials,SP98,0,0,0,0,0,0.3813559322033898
38.5,4.8,63,21.5,14,No Specials,SP98,0,0,0,0,0,0.12467532467532468
28.2,4.6,54,21.5,14,No Specials,SP98,0,0,0,0,0,0.1631205673758865
2.9,7.4,24,21.5,14,No Specials,SP98,0,0,0,0,0,2.5517241379310347
6.1,5.6,24,21.5,13,No Specials,SP98,0,0,0,0,0,0.9180327868852459
19.6,4.9,43,21.5,13,No Specials,SP98,0,0,0,0,0,0.25
22.2,3.8,42,21.929521276595743,15,No Specials,SP98,0,0,0,0,0,0.17117117117117117
13.6,4.5,44,19.0,18,No Specials,SP98,0,0,0,0,0,0.33088235294117646
12.6,4.1,33,21.929521276595743,17,No Specials,SP98,0,0,0,0,0,0.32539682539682535
8.7,5.3,28,22.5,12,AC rain,SP98,1,1,0,0,0,0.6091954022988506
7.9,4.7,31,22.5,12,AC,SP98,1,0,0,0,0,0.5949367088607594
2.4,9.0,26,20.0,10,No Specials,SP98,0,0,0,0,0,3.75
4.9,6.3,26,20.0,10,No Specials,SP98,0,0,0,0,0,1.2857142857142856
18.1,3.6,36,20.0,19,No Specials,SP98,0,0,0,0,0,0.19889502762430938
25.9,3.7,39,20.0,21,No Specials,SP98,0,0,0,0,0,0.14285714285714288
1.3,11.5,21,20.0,10,No Specials,SP98,0,0,0,0,0,8.846153846153847
14.1,5.0,22,20.0,12,No Specials,SP98,0,0,0,0,0,0.3546099290780142
13.4,5.5,31,20.0,9,No Specials,SP98,0,0,0,0,0,0.4104477611940298
6.4,4.7,33,20.0,8,No Specials,SP98,0,0,0,0,0,0.734375
12.9,4.5,42,20.0,13,No Specials,SP98,0,0,0,0,0,0.3488372093023256
12.1,4.4,33,22.5,5,No Specials,SP98,0,0,0,0,0,0.3636363636363637
15.7,4.1,32,22.5,13,No Specials,SP98,0,0,0,0,0,0.2611464968152866
16.2,4.4,26,22.5,11,No Specials,SP98,0,0,0,0,0,0.271604938271605
12.8,4.6,22,22.5,12,No Specials,SP98,0,0,0,0,0,0.35937499999999994
19.0,4.4,58,22.5,17,sun,SP98,0,0,1,0,0,0.23157894736842108
29.0,4.0,27,22.5,12,No Specials,SP98,0,0,0,0,0,0.13793103448275862
12.1,5.0,32,22.5,9,No Specials,SP98,0,0,0,0,0,0.4132231404958678
12.3,5.2,55,22.5,10,No Specials,SP98,0,0,0,0,0,0.4227642276422764
24.8,4.0,56,22.5,11,No Specials,SP98,0,0,0,0,0,0.16129032258064516
12.9,5.1,34,22.5,8,rain,SP98,0,1,0,0,0,0.3953488372093023
11.8,4.5,39,22.5,3,No Specials,SP98,0,0,0,0,0,0.3813559322033898
31.4,4.6,62,22.5,11,No Specials,SP98,0,0,0,0,0,0.1464968152866242
19.0,5.1,53,22.5,4,rain,SP98,0,1,0,0,0,0.26842105263157895
13.0,5.7,38,22.5,3,AC rain,SP98,1,1,0,0,0,0.43846153846153846
11.8,4.8,42,22.5,2,No Specials,SP98,0,0,0,0,0,0.4067796610169491
13.0,6.2,32,22.5,4,No Specials,SP98,0,0,0,0,0,0.47692307692307695
11.8,5.0,43,22.5,1,No Specials,SP98,0,0,0,0,0,0.423728813559322
27.1,5.0,69,22.5,8,No Specials,SP98,0,0,0,0,0,0.18450184501845018
5.2,4.6,38,22.5,8,No Specials,SP98,0,0,0,0,0,0.8846153846153845
19.0,4.5,29,22.5,10,No Specials,E10,0,0,0,39,E10,0.23684210526315788
12.4,4.8,38,22.5,1,No Specials,E10,0,0,0,0,0,0.3870967741935484
25.2,5.0,55,22.5,9,No Specials,E10,0,0,0,0,0,0.19841269841269843
14.3,4.8,36,22.5,10,No Specials,E10,0,0,0,0,0,0.3356643356643356
11.8,4.6,40,22.5,2,No Specials,E10,0,0,0,0,0,0.38983050847457623
16.9,4.5,48,22.5,9,sun,E10,0,0,1,0,0,0.26627218934911245
12.4,4.6,55,22.5,11,sun,E10,0,0,1,0,0,0.3709677419354838
17.4,4.4,36,22.5,12,sun,E10,0,0,1,0,0,0.25287356321839083
9.2,5.7,33,22.5,8,rain,E10,0,1,0,0,0,0.6195652173913044
12.3,5.8,54,22.5,10,rain,E10,0,1,0,0,0,0.47154471544715443
13.0,5.9,32,22.5,10,No Specials,E10,0,0,0,0,0,0.4538461538461539
11.8,6.1,16,22.5,6,rain,E10,0,1,0,0,0,0.5169491525423728
13.0,5.7,37,22.5,11,rain,E10,0,1,0,0,0,0.43846153846153846
12.3,5.0,42,22.5,10,No Specials,E10,0,0,0,0,0,0.4065040650406504
12.3,5.2,57,22.5,15,sun,E10,0,0,1,0,0,0.4227642276422764
12.5,4.3,57,22.5,16,sun,E10,0,0,1,0,0,0.344
31.5,4.1,30,22.5,16,sun,E10,0,0,1,0,0,0.13015873015873014
11.8,4.4,42,22.5,8,No Specials,E10,0,0,0,0,0,0.3728813559322034
24.9,4.5,53,22.5,14,No Specials,E10,0,0,0,0,0,0.18072289156626506
17.0,3.9,46,22.5,14,sun,E10,0,0,1,0,0,0.22941176470588234
2.0,8.1,20,22.5,14,No Specials,E10,0,0,0,0,0,4.05
11.8,4.4,33,22.5,8,No Specials,E10,0,0,0,0,0,0.3728813559322034
7.4,5.0,31,22.5,12,No Specials,E10,0,0,0,0,0,0.6756756756756757
12.4,4.7,55,22.5,14,sun,E10,0,0,1,0,0,0.3790322580645161
2.0,6.0,22,22.5,14,No Specials,E10,0,0,0,0,0,3.0
14.0,5.0,41,22.5,8,No Specials,E10,0,0,0,0,0,0.35714285714285715
25.7,5.0,45,22.5,7,No Specials,E10,0,0,0,0,0,0.19455252918287938
24.5,3.9,50,21.929521276595743,15,sun,E10,0,0,1,0,0,0.15918367346938775
11.8,4.5,28,22.5,12,No Specials,E10,0,0,0,0,0,0.3813559322033898
4.1,5.4,24,22.5,13,No Specials,E10,0,0,0,0,0,1.3170731707317076
4.2,5.6,29,22.0,17,No Specials,E10,0,0,0,0,0,1.3333333333333333
4.2,3.9,29,22.0,18,sun,E10,0,0,1,0,0,0.9285714285714285
16.0,4.0,40,22.0,10,No Specials,E10,0,0,0,0,0,0.25
22.9,4.0,29,21.929521276595743,21,No Specials,E10,0,0,0,0,0,0.17467248908296945
16.0,3.8,42,21.929521276595743,8,No Specials,E10,0,0,0,0,0,0.2375
15.4,4.5,50,22.0,14,No Specials,E10,0,0,0,0,0,0.2922077922077922
16.0,3.8,41,22.0,12,No Specials,E10,0,0,0,0,0,0.2375
4.2,5.6,32,22.0,18,No Specials,E10,0,0,0,0,0,1.3333333333333333
101.9,5.2,75,22.0,18,No Specials,E10,0,0,0,0,0,0.05103042198233562
93.9,4.8,88,23.0,18,AC sun,E10,1,0,1,0,0,0.051118210862619806
25.7,4.9,50,22.0,10,rain,SP98,0,1,0,41,SP98,0.1906614785992218
16.0,4.1,40,22.0,10,No Specials,SP98,0,0,0,0,0,0.25625
16.1,4.5,32,22.0,19,No Specials,SP98,0,0,0,0,0,0.2795031055900621
16.0,4.4,40,22.0,7,AC rain,SP98,1,1,0,0,0,0.275
16.0,4.5,41,22.0,11,No Specials,SP98,0,0,0,0,0,0.28125
24.7,4.5,26,22.0,10,No Specials,SP98,0,0,0,0,0,0.18218623481781376
16.0,3.9,42,22.0,8,No Specials,SP98,0,0,0,0,0,0.24375
15.4,4.6,43,22.0,16,No Specials,SP98,0,0,0,0,0,0.2987012987012987
16.0,3.8,40,22.0,8,No Specials,SP98,0,0,0,0,0,0.2375
32.1,4.5,50,22.0,16,No Specials,SP98,0,0,0,0,0,0.14018691588785046
25.9,4.4,40,22.0,14,No Specials,SP98,0,0,0,0,0,0.1698841698841699
48.6,4.3,44,22.0,12,No Specials,SP98,0,0,0,0,0,0.08847736625514403
37.2,4.0,45,22.0,20,sun,SP98,0,0,1,0,0,0.1075268817204301
28.8,3.9,35,22.0,15,sun,SP98,0,0,1,0,0,0.13541666666666666
6.7,5.0,30,22.0,17,No Specials,SP98,0,0,0,0,0,0.7462686567164178
7.4,4.1,25,22.0,18,sun,SP98,0,0,1,0,0,0.554054054054054
17.3,4.1,22,22.0,25,sun,SP98,0,0,1,0,0,0.23699421965317916
6.6,5.6,43,22.0,16,No Specials,SP98,0,0,0,0,0,0.8484848484848485
14.3,4.1,26,22.0,20,No Specials,SP98,0,0,0,0,0,0.28671328671328666
13.3,4.6,33,22.0,18,No Specials,SP98,0,0,0,0,0,0.3458646616541353
8.3,4.9,26,22.0,23,No Specials,SP98,0,0,0,0,0,0.5903614457831325
12.7,4.5,39,22.0,27,sun,SP98,0,0,1,0,0,0.35433070866141736
16.5,4.1,47,22.0,14,No Specials,SP98,0,0,0,0,0,0.24848484848484848
20.6,4.1,38,22.0,21,No Specials,SP98,0,0,0,0,0,0.1990291262135922
16.3,4.5,58,22.0,16,No Specials,SP98,0,0,0,0,0,0.2760736196319018
18.7,4.2,65,25.0,18,sun ac,SP98,1,0,1,0,0,0.22459893048128343
36.5,3.9,54,23.0,18,sun,SP98,0,0,1,0,0,0.10684931506849314
19.0,5.0,35,22.0,15,sun ac,SP98,1,0,1,0,0,0.2631578947368421
16.6,4.4,46,22.0,5,ac,SP98,1,0,0,0,0,0.26506024096385544
29.9,4.5,32,22.0,18,ac,SP98,1,0,0,0,0,0.1505016722408027
16.0,3.8,42,22.0,11,No Specials,SP98,0,0,0,0,0,0.2375
21.1,5.1,33,22.0,10,rain,SP98,0,1,0,0,0,0.24170616113744073
16.0,3.9,40,22.0,10,No Specials,SP98,0,0,0,0,0,0.24375
11.9,5.3,34,22.0,13,No Specials,SP98,0,0,0,0,0,0.4453781512605042
10.1,4.2,35,22.0,16,No Specials,SP98,0,0,0,0,0,0.4158415841584159
31.9,4.3,33,22.0,16,No Specials,SP98,0,0,0,0,0,0.13479623824451412
18.7,4.0,60,22.0,13,No Specials,SP98,0,0,0,0,0,0.21390374331550802
10.8,4.7,48,22.0,17,sun,SP98,0,0,1,0,0,0.4351851851851852
19.8,4.0,56,22.0,17,sun,SP98,0,0,1,0,0,0.20202020202020202
11.3,4.3,38,22.0,17,No Specials,SP98,0,0,0,37,SP98,0.3805309734513274
11.5,5.3,53,22.0,15,No Specials,SP98,0,0,0,0,0,0.4608695652173913
21.4,5.2,51,22.0,13,No Specials,SP98,0,0,0,0,0,0.2429906542056075
32.0,4.9,53,22.0,15,No Specials,SP98,0,0,0,0,0,0.153125
41.9,4.7,53,22.0,14,No Specials,SP98,0,0,0,0,0,0.11217183770883056
211.0,4.6,80,22.0,20,No Specials,SP98,0,0,0,0,0,0.021800947867298578
216.1,5.3,90,22.0,21,sun,SP98,0,0,1,0,0,0.024525682554372975
25.5,3.6,27,22.0,27,sun,SP98,0,0,1,0,0,0.1411764705882353
16.6,4.2,52,22.0,15,rain,SP98,0,1,0,0,0,0.25301204819277107
